GEOID,LONGNAME,COUNTY,PlanningRegion,ARCModelingArea,% Gross rent 30.0 percent of income or greater 2019
13067030326,"Census Tract 303.26, Cobb County",Cobb,Atlanta Regional Commission,Yes,69.6
13067030310,"Census Tract 303.10, Cobb County",Cobb,Atlanta Regional Commission,Yes,38.3
13067031308,"Census Tract 313.08, Cobb County",Cobb,Atlanta Regional Commission,Yes,48.6
13067031309,"Census Tract 313.09, Cobb County",Cobb,Atlanta Regional Commission,Yes,50.5
13063040612,"Census Tract 406.12, Clayton County",Clayton,Atlanta Regional Commission,Yes,52.3
13117130410,"Census Tract 1304.10, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,57.5
13063040613,"Census Tract 406.13, Clayton County",Clayton,Atlanta Regional Commission,Yes,48.7
13135050606,"Census Tract 506.06, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,39.6
13135050607,"Census Tract 506.07, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,21
13135050527,"Census Tract 505.27, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,47.6
13017960500,"Census Tract 9605, Ben Hill County",Ben Hill,Southern Georgia,No,52.9
13067030336,"Census Tract 303.36, Cobb County",Cobb,Atlanta Regional Commission,Yes,
13153021103,"Census Tract 211.03, Houston County",Houston,Middle Georgia,No,27.6
13013180203,"Census Tract 1802.03, Barrow County",Barrow,Northeast Georgia,Yes,59
13255161000,"Census Tract 1610, Spalding County",Spalding,Three Rivers,Yes,52
13151070107,"Census Tract 701.07, Henry County",Henry,Atlanta Regional Commission,Yes,49.1
13111050300,"Census Tract 503, Fannin County",Fannin,Northwest Georgia,No,1.8
13135050723,"Census Tract 507.23, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,35.5
13021013605,"Census Tract 136.05, Bibb County",Bibb,Middle Georgia,No,37.9
13275960100,"Census Tract 9601, Thomas County",Thomas,Southwest Georgia,No,54.4
13121008000,"Census Tract 80, Fulton County",Fulton,Atlanta Regional Commission,Yes,63.2
13121000200,"Census Tract 2, Fulton County",Fulton,Atlanta Regional Commission,Yes,12.3
13189950300,"Census Tract 9503, McDuffie County",McDuffie,Central Savannah River Area,No,62.4
13089021210,"Census Tract 212.10, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,
13121011419,"Census Tract 114.19, Fulton County",Fulton,Atlanta Regional Commission,Yes,60.3
13021013606,"Census Tract 136.06, Bibb County",Bibb,Middle Georgia,No,45.5
13239960300,"Census Tract 9603, Quitman County",Quitman,River Valley,No,50.3
13051003400,"Census Tract 34, Chatham County",Chatham,Coastal Regional Commission,No,46
13051002600,"Census Tract 26, Chatham County",Chatham,Coastal Regional Commission,No,42.9
13121009101,"Census Tract 91.01, Fulton County",Fulton,Atlanta Regional Commission,Yes,26.7
13241970301,"Census Tract 9703.01, Rabun County",Rabun,Georgia Mountains,No,38.5
13067030311,"Census Tract 303.11, Cobb County",Cobb,Atlanta Regional Commission,Yes,56.1
13121010210,"Census Tract 102.10, Fulton County",Fulton,Atlanta Regional Commission,Yes,26.8
13245010300,"Census Tract 103, Richmond County",Richmond,Central Savannah River Area,No,62.6
13117130612,"Census Tract 1306.12, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,33.7
13117130605,"Census Tract 1306.05, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,61.5
13153020900,"Census Tract 209, Houston County",Houston,Middle Georgia,No,39.4
13121000400,"Census Tract 4, Fulton County",Fulton,Atlanta Regional Commission,Yes,34.4
13135050205,"Census Tract 502.05, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,37
13217100202,"Census Tract 1002.02, Newton County",Newton,Northeast Georgia,Yes,25
13217100800,"Census Tract 1008, Newton County",Newton,Northeast Georgia,Yes,43.7
13157010101,"Census Tract 101.01, Jackson County",Jackson,Northeast Georgia,No,44.7
13067031115,"Census Tract 311.15, Cobb County",Cobb,Atlanta Regional Commission,Yes,47.7
13113140303,"Census Tract 1403.03, Fayette County",Fayette,Atlanta Regional Commission,Yes,49.5
13251970500,"Census Tract 9705, Screven County",Screven,Coastal Regional Commission,No,45
13313000502,"Census Tract 5.02, Whitfield County",Whitfield,Northwest Georgia,No,28.4
13117130510,"Census Tract 1305.10, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,26.8
13015960700,"Census Tract 9607, Bartow County",Bartow,Northwest Georgia,Yes,58
13121011623,"Census Tract 116.23, Fulton County",Fulton,Atlanta Regional Commission,Yes,29.6
13067031408,"Census Tract 314.08, Cobb County",Cobb,Atlanta Regional Commission,Yes,38.7
13067030219,"Census Tract 302.19, Cobb County",Cobb,Atlanta Regional Commission,Yes,46
13067031205,"Census Tract 312.05, Cobb County",Cobb,Atlanta Regional Commission,Yes,46.8
13073030603,"Census Tract 306.03, Columbia County",Columbia,Central Savannah River Area,No,49.7
13015960802,"Census Tract 9608.02, Bartow County",Bartow,Northwest Georgia,Yes,44.2
13277960600,"Census Tract 9606, Tift County",Tift,Southern Georgia,No,36.4
13277960500,"Census Tract 9605, Tift County",Tift,Southern Georgia,No,35.9
13095000600,"Census Tract 6, Dougherty County",Dougherty,Southwest Georgia,No,61.4
13121011621,"Census Tract 116.21, Fulton County",Fulton,Atlanta Regional Commission,Yes,38.2
13121011622,"Census Tract 116.22, Fulton County",Fulton,Atlanta Regional Commission,Yes,50.9
13143010302,"Census Tract 103.02, Haralson County",Haralson,Northwest Georgia,No,54.2
13229960400,"Census Tract 9604, Pierce County",Pierce,Southern Georgia,No,51.2
13063040202,"Census Tract 402.02, Clayton County",Clayton,Atlanta Regional Commission,Yes,70.1
13051010807,"Census Tract 108.07, Chatham County",Chatham,Coastal Regional Commission,No,37.8
13075960300,"Census Tract 9603, Cook County",Cook,Southern Georgia,No,53.3
13089023419,"Census Tract 234.19, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,29.4
13129970700,"Census Tract 9707, Gordon County",Gordon,Northwest Georgia,No,54.6
13037950200,"Census Tract 9502, Calhoun County",Calhoun,Southwest Georgia,No,45.8
13129970600,"Census Tract 9706, Gordon County",Gordon,Northwest Georgia,No,44.4
13129970800,"Census Tract 9708, Gordon County",Gordon,Northwest Georgia,No,17.5
13135050218,"Census Tract 502.18, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,63.3
13233010300,"Census Tract 103, Polk County",Polk,Northwest Georgia,No,65
13291000205,"Census Tract 2.05, Union County",Union,Georgia Mountains,No,50
13121011620,"Census Tract 116.20, Fulton County",Fulton,Atlanta Regional Commission,Yes,44.2
13317010301,"Census Tract 103.01, Wilkes County",Wilkes,Central Savannah River Area,No,55.4
13039010601,"Census Tract 106.01, Camden County",Camden,Coastal Regional Commission,No,53.7
13209950200,"Census Tract 9502, Montgomery County",Montgomery,Heart of Georgia Altamaha,No,52.8
13245001400,"Census Tract 14, Richmond County",Richmond,Central Savannah River Area,No,55.1
13021011900,"Census Tract 119, Bibb County",Bibb,Middle Georgia,No,46.5
13273120500,"Census Tract 1205, Terrell County",Terrell,Southwest Georgia,No,89.9
13139000203,"Census Tract 2.03, Hall County",Hall,Georgia Mountains,Yes,62.6
13159010100,"Census Tract 101, Jasper County",Jasper,Northeast Georgia,No,46.2
13193000100,"Census Tract 1, Macon County",Macon,River Valley,No,53.4
13295020502,"Census Tract 205.02, Walker County",Walker,Northwest Georgia,No,13.5
13295020100,"Census Tract 201, Walker County",Walker,Northwest Georgia,No,43.2
13295020501,"Census Tract 205.01, Walker County",Walker,Northwest Georgia,No,53.2
13081010400,"Census Tract 104, Crisp County",Crisp,River Valley,No,56.6
13295020302,"Census Tract 203.02, Walker County",Walker,Northwest Georgia,No,45.3
13077170801,"Census Tract 1708.01, Coweta County",Coweta,Three Rivers,Yes,40.6
13077170305,"Census Tract 1703.05, Coweta County",Coweta,Three Rivers,Yes,66
13279970200,"Census Tract 9702, Toombs County",Toombs,Heart of Georgia Altamaha,No,56.4
13295020301,"Census Tract 203.01, Walker County",Walker,Northwest Georgia,No,69.1
13067030329,"Census Tract 303.29, Cobb County",Cobb,Atlanta Regional Commission,Yes,39
13121011417,"Census Tract 114.17, Fulton County",Fulton,Atlanta Regional Commission,Yes,68.3
13055010200,"Census Tract 102, Chattooga County",Chattooga,Northwest Georgia,No,35.5
13287970200,"Census Tract 9702, Turner County",Turner,Southern Georgia,No,40
13127000300,"Census Tract 3, Glynn County",Glynn,Coastal Regional Commission,No,21.4
13127000900,"Census Tract 9, Glynn County",Glynn,Coastal Regional Commission,No,54.6
13175951400,"Census Tract 9514, Laurens County",Laurens,Heart of Georgia Altamaha,No,45.5
13135050304,"Census Tract 503.04, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,51
13135050306,"Census Tract 503.06, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,60.5
13135050210,"Census Tract 502.10, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,38.9
13077170404,"Census Tract 1704.04, Coweta County",Coweta,Three Rivers,Yes,9.9
13051011005,"Census Tract 110.05, Chatham County",Chatham,Coastal Regional Commission,No,42.2
13051011106,"Census Tract 111.06, Chatham County",Chatham,Coastal Regional Commission,No,44.4
13215010107,"Census Tract 101.07, Muscogee County",Muscogee,River Valley,No,30
13215001600,"Census Tract 16, Muscogee County",Muscogee,River Valley,No,63.4
13215010607,"Census Tract 106.07, Muscogee County",Muscogee,River Valley,No,61.1
13089020802,"Census Tract 208.02, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,38.1
13119890101,"Census Tract 8901.01, Franklin County",Franklin,Georgia Mountains,No,43.2
13175950201,"Census Tract 9502.01, Laurens County",Laurens,Heart of Georgia Altamaha,No,57.7
13119890200,"Census Tract 8902, Franklin County",Franklin,Georgia Mountains,No,54.5
13223120503,"Census Tract 1205.03, Paulding County",Paulding,Northwest Georgia,Yes,26.8
13215003200,"Census Tract 32, Muscogee County",Muscogee,River Valley,No,55.9
13051010806,"Census Tract 108.06, Chatham County",Chatham,Coastal Regional Commission,No,26.9
13151070502,"Census Tract 705.02, Henry County",Henry,Atlanta Regional Commission,Yes,48.1
13135050433,"Census Tract 504.33, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,59.1
13009970400,"Census Tract 9704, Baldwin County",Baldwin,Middle Georgia,No,45.7
13135050541,"Census Tract 505.41, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,60.3
13117130601,"Census Tract 1306.01, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,47.2
13215010302,"Census Tract 103.02, Muscogee County",Muscogee,River Valley,No,47.7
13117130607,"Census Tract 1306.07, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,61.5
13227050300,"Census Tract 503, Pickens County",Pickens,Northwest Georgia,No,36.5
13227050200,"Census Tract 502, Pickens County",Pickens,Northwest Georgia,No,49.4
13073030506,"Census Tract 305.06, Columbia County",Columbia,Central Savannah River Area,No,24.3
13073030102,"Census Tract 301.02, Columbia County",Columbia,Central Savannah River Area,No,
13135050713,"Census Tract 507.13, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,25.3
13135050725,"Census Tract 507.25, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,61.2
13225040400,"Census Tract 404, Peach County",Peach,Middle Georgia,No,44.3
13051004209,"Census Tract 42.09, Chatham County",Chatham,Coastal Regional Commission,No,65.2
13275961000,"Census Tract 9610, Thomas County",Thomas,Southwest Georgia,No,40.1
13275961100,"Census Tract 9611, Thomas County",Thomas,Southwest Georgia,No,51.9
13073030503,"Census Tract 305.03, Columbia County",Columbia,Central Savannah River Area,No,38.4
13089021202,"Census Tract 212.02, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,45.7
13089023801,"Census Tract 238.01, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,30.7
13051011104,"Census Tract 111.04, Chatham County",Chatham,Coastal Regional Commission,No,18.9
13059001700,"Census Tract 17, Clarke County",Clarke,Northeast Georgia,No,54.7
13223120301,"Census Tract 1203.01, Paulding County",Paulding,Northwest Georgia,Yes,58.3
13279970300,"Census Tract 9703, Toombs County",Toombs,Heart of Georgia Altamaha,No,27.7
13285960100,"Census Tract 9601, Troup County",Troup,Three Rivers,No,59.7
13021013900,"Census Tract 139, Bibb County",Bibb,Middle Georgia,No,37.1
13091960100,"Census Tract 9601, Dodge County",Dodge,Heart of Georgia Altamaha,No,39.6
13021013411,"Census Tract 134.11, Bibb County",Bibb,Middle Georgia,No,27.5
13091960600,"Census Tract 9606, Dodge County",Dodge,Heart of Georgia Altamaha,No,50
13031110300,"Census Tract 1103, Bulloch County",Bulloch,Coastal Regional Commission,No,41
13083040102,"Census Tract 401.02, Dade County",Dade,Northwest Georgia,No,40.2
13039010401,"Census Tract 104.01, Camden County",Camden,Coastal Regional Commission,No,41.1
13221960201,"Census Tract 9602.01, Oglethorpe County",Oglethorpe,Northeast Georgia,No,40.4
13233010400,"Census Tract 104, Polk County",Polk,Northwest Georgia,No,38.8
13297110507,"Census Tract 1105.07, Walton County",Walton,Northeast Georgia,Yes,59
13135050609,"Census Tract 506.09, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,61
13181970200,"Census Tract 9702, Lincoln County",Lincoln,Central Savannah River Area,No,47.2
13089023601,"Census Tract 236.01, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,36.7
13089023414,"Census Tract 234.14, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,40
13121010206,"Census Tract 102.06, Fulton County",Fulton,Atlanta Regional Commission,Yes,11.7
13195020500,"Census Tract 205, Madison County",Madison,Northeast Georgia,No,39.3
13195020400,"Census Tract 204, Madison County",Madison,Northeast Georgia,No,40.4
13285961100,"Census Tract 9611, Troup County",Troup,Three Rivers,No,4.6
13285960201,"Census Tract 9602.01, Troup County",Troup,Three Rivers,No,48.3
13071970400,"Census Tract 9704, Colquitt County",Colquitt,Southwest Georgia,No,56.6
13279970500,"Census Tract 9705, Toombs County",Toombs,Heart of Georgia Altamaha,No,54
13089022401,"Census Tract 224.01, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,44.6
13089023410,"Census Tract 234.10, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,57.1
13135050724,"Census Tract 507.24, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,41.9
13121011405,"Census Tract 114.05, Fulton County",Fulton,Atlanta Regional Commission,Yes,39.8
13021013201,"Census Tract 132.01, Bibb County",Bibb,Middle Georgia,No,56.5
13259950100,"Census Tract 9501, Stewart County",Stewart,River Valley,No,70.1
13067031509,"Census Tract 315.09, Cobb County",Cobb,Atlanta Regional Commission,Yes,30.8
13245010905,"Census Tract 109.05, Richmond County",Richmond,Central Savannah River Area,No,59.1
13245010509,"Census Tract 105.09, Richmond County",Richmond,Central Savannah River Area,No,77.9
13245010708,"Census Tract 107.08, Richmond County",Richmond,Central Savannah River Area,No,57
13245010903,"Census Tract 109.03, Richmond County",Richmond,Central Savannah River Area,No,53.2
13069010500,"Census Tract 105, Coffee County",Coffee,Southern Georgia,No,57.8
13051010102,"Census Tract 101.02, Chatham County",Chatham,Coastal Regional Commission,No,39.1
13113140403,"Census Tract 1404.03, Fayette County",Fayette,Atlanta Regional Commission,Yes,31.1
13049010100,"Census Tract 101, Charlton County",Charlton,Southern Georgia,No,44.5
13237960202,"Census Tract 9602.02, Putnam County",Putnam,Middle Georgia,No,49.5
13135050729,"Census Tract 507.29, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,60.9
13139000800,"Census Tract 8, Hall County",Hall,Georgia Mountains,Yes,56.7
13253200100,"Census Tract 2001, Seminole County",Seminole,Southwest Georgia,No,26.3
13253200200,"Census Tract 2002, Seminole County",Seminole,Southwest Georgia,No,61.3
13139001301,"Census Tract 13.01, Hall County",Hall,Georgia Mountains,Yes,28.6
13139001404,"Census Tract 14.04, Hall County",Hall,Georgia Mountains,Yes,32.5
13215000300,"Census Tract 3, Muscogee County",Muscogee,River Valley,No,67.3
13021010400,"Census Tract 104, Bibb County",Bibb,Middle Georgia,No,55.1
13067031507,"Census Tract 315.07, Cobb County",Cobb,Atlanta Regional Commission,Yes,61.4
13255161100,"Census Tract 1611, Spalding County",Spalding,Three Rivers,Yes,44.8
13097080510,"Census Tract 805.10, Douglas County",Douglas,Atlanta Regional Commission,Yes,50
13215002902,"Census Tract 29.02, Muscogee County",Muscogee,River Valley,No,69.1
13063040608,"Census Tract 406.08, Clayton County",Clayton,Atlanta Regional Commission,Yes,50.4
13063040412,"Census Tract 404.12, Clayton County",Clayton,Atlanta Regional Commission,Yes,52.3
13307960200,"Census Tract 9602, Webster County",Webster,River Valley,No,62
13063040521,"Census Tract 405.21, Clayton County",Clayton,Atlanta Regional Commission,Yes,67.9
13067030902,"Census Tract 309.02, Cobb County",Cobb,Atlanta Regional Commission,Yes,44.2
13095011200,"Census Tract 112, Dougherty County",Dougherty,Southwest Georgia,No,53.5
13059140600,"Census Tract 1406, Clarke County",Clarke,Northeast Georgia,No,50.3
13291000102,"Census Tract 1.02, Union County",Union,Georgia Mountains,No,62.2
13079070201,"Census Tract 702.01, Crawford County",Crawford,Middle Georgia,No,36.1
13045910501,"Census Tract 9105.01, Carroll County",Carroll,Three Rivers,Yes,51.7
13045910701,"Census Tract 9107.01, Carroll County",Carroll,Three Rivers,Yes,41.7
13045911100,"Census Tract 9111, Carroll County",Carroll,Three Rivers,Yes,32.8
13135050531,"Census Tract 505.31, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,34.2
13051011107,"Census Tract 111.07, Chatham County",Chatham,Coastal Regional Commission,No,33.3
13135050546,"Census Tract 505.46, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,39.6
13305970300,"Census Tract 9703, Wayne County",Wayne,Heart of Georgia Altamaha,No,40.9
13135050539,"Census Tract 505.39, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,63.8
13117130103,"Census Tract 1301.03, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,36.6
13117130303,"Census Tract 1303.03, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,20
13089023112,"Census Tract 231.12, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,54.8
13155950200,"Census Tract 9502, Irwin County",Irwin,Southern Georgia,No,47.7
13223120501,"Census Tract 1205.01, Paulding County",Paulding,Northwest Georgia,Yes,46.7
13067030334,"Census Tract 303.34, Cobb County",Cobb,Atlanta Regional Commission,Yes,55.3
13089021409,"Census Tract 214.09, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,50.7
13247060201,"Census Tract 602.01, Rockdale County",Rockdale,Atlanta Regional Commission,Yes,51.9
13145120402,"Census Tract 1204.02, Harris County",Harris,River Valley,No,19.3
13089021414,"Census Tract 214.14, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,53.5
13057091103,"Census Tract 911.03, Cherokee County",Cherokee,Atlanta Regional Commission,Yes,45.3
13139000303,"Census Tract 3.03, Hall County",Hall,Georgia Mountains,Yes,66.4
13223120400,"Census Tract 1204, Paulding County",Paulding,Northwest Georgia,Yes,51.4
13181970100,"Census Tract 9701, Lincoln County",Lincoln,Central Savannah River Area,No,60.2
13067030239,"Census Tract 302.39, Cobb County",Cobb,Atlanta Regional Commission,Yes,32.2
13117130204,"Census Tract 1302.04, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,54.5
13215010801,"Census Tract 108.01, Muscogee County",Muscogee,River Valley,No,34.6
13067031211,"Census Tract 312.11, Cobb County",Cobb,Atlanta Regional Commission,Yes,25.4
13067031207,"Census Tract 312.07, Cobb County",Cobb,Atlanta Regional Commission,Yes,39.8
13215002200,"Census Tract 22, Muscogee County",Muscogee,River Valley,No,82.6
13117130404,"Census Tract 1304.04, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,12.5
13135050432,"Census Tract 504.32, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,40.8
13245010504,"Census Tract 105.04, Richmond County",Richmond,Central Savannah River Area,No,51.2
13121007705,"Census Tract 77.05, Fulton County",Fulton,Atlanta Regional Commission,Yes,67.9
13283960200,"Census Tract 9602, Treutlen County",Treutlen,Heart of Georgia Altamaha,No,35.6
13121011411,"Census Tract 114.11, Fulton County",Fulton,Atlanta Regional Commission,Yes,70.7
13297110602,"Census Tract 1106.02, Walton County",Walton,Northeast Georgia,Yes,52.3
13121010514,"Census Tract 105.14, Fulton County",Fulton,Atlanta Regional Commission,Yes,47.1
13121010002,"Census Tract 100.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,33.4
13059130500,"Census Tract 1305, Clarke County",Clarke,Northeast Georgia,No,33.8
13215001000,"Census Tract 10, Muscogee County",Muscogee,River Valley,No,43.7
13297110601,"Census Tract 1106.01, Walton County",Walton,Northeast Georgia,Yes,63.2
13103030304,"Census Tract 303.04, Effingham County",Effingham,Coastal Regional Commission,No,46.5
13095000800,"Census Tract 8, Dougherty County",Dougherty,Southwest Georgia,No,65.4
13071970300,"Census Tract 9703, Colquitt County",Colquitt,Southwest Georgia,No,53
13185011403,"Census Tract 114.03, Lowndes County",Lowndes,Southern Georgia,No,56.1
13261950500,"Census Tract 9505, Sumter County",Sumter,River Valley,No,52.1
13299950800,"Census Tract 9508, Ware County",Ware,Southern Georgia,No,58.3
13213010300,"Census Tract 103, Murray County",Murray,Northwest Georgia,No,34.1
13215010106,"Census Tract 101.06, Muscogee County",Muscogee,River Valley,No,45.3
13027960200,"Census Tract 9602, Brooks County",Brooks,Southern Georgia,No,61.7
13063040621,"Census Tract 406.21, Clayton County",Clayton,Atlanta Regional Commission,Yes,57.4
13245001300,"Census Tract 13, Richmond County",Richmond,Central Savannah River Area,No,63.3
13067030331,"Census Tract 303.31, Cobb County",Cobb,Atlanta Regional Commission,Yes,42.7
13037950100,"Census Tract 9501, Calhoun County",Calhoun,Southwest Georgia,No,2
13067030339,"Census Tract 303.39, Cobb County",Cobb,Atlanta Regional Commission,Yes,33
13121011625,"Census Tract 116.25, Fulton County",Fulton,Atlanta Regional Commission,Yes,37.5
13185010202,"Census Tract 102.02, Lowndes County",Lowndes,Southern Georgia,No,32
13053020205,"Census Tract 202.05, Chattahoochee County",Chattahoochee,River Valley,No,48.6
13029920101,"Census Tract 9201.01, Bryan County",Bryan,Coastal Regional Commission,No,49.5
13009970600,"Census Tract 9706, Baldwin County",Baldwin,Middle Georgia,No,51.8
13295020400,"Census Tract 204, Walker County",Walker,Northwest Georgia,No,66
13115000400,"Census Tract 4, Floyd County",Floyd,Northwest Georgia,No,36
13131950100,"Census Tract 9501, Grady County",Grady,Southwest Georgia,No,57.1
13065970100,"Census Tract 9701, Clinch County",Clinch,Southern Georgia,No,39.1
13121003100,"Census Tract 31, Fulton County",Fulton,Atlanta Regional Commission,Yes,48.4
13153021400,"Census Tract 214, Houston County",Houston,Middle Georgia,No,51.2
13089022800,"Census Tract 228, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,35.9
13089023111,"Census Tract 231.11, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,47.7
13089023214,"Census Tract 232.14, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,53
13249960200,"Census Tract 9602, Schley County",Schley,River Valley,No,21.6
13135050523,"Census Tract 505.23, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,49.5
13121007603,"Census Tract 76.03, Fulton County",Fulton,Atlanta Regional Commission,Yes,72.2
13231010200,"Census Tract 102, Pike County",Pike,Three Rivers,No,50
13067030409,"Census Tract 304.09, Cobb County",Cobb,Atlanta Regional Commission,Yes,87.1
13067031005,"Census Tract 310.05, Cobb County",Cobb,Atlanta Regional Commission,Yes,34.2
13067030231,"Census Tract 302.31, Cobb County",Cobb,Atlanta Regional Commission,Yes,35.7
13089022005,"Census Tract 220.05, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,56.4
13099090400,"Census Tract 904, Early County",Early,Southwest Georgia,No,39.5
13033950700,"Census Tract 9507, Burke County",Burke,Central Savannah River Area,No,52.6
13099090100,"Census Tract 901, Early County",Early,Southwest Georgia,No,54.3
13245000200,"Census Tract 2, Richmond County",Richmond,Central Savannah River Area,No,66.7
13229960300,"Census Tract 9603, Pierce County",Pierce,Southern Georgia,No,53.1
13073030304,"Census Tract 303.04, Columbia County",Columbia,Central Savannah River Area,No,58.5
13267950100,"Census Tract 9501, Tattnall County",Tattnall,Heart of Georgia Altamaha,No,26.9
13135050322,"Census Tract 503.22, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,20.7
13315960200,"Census Tract 9602, Wilcox County",Wilcox,Heart of Georgia Altamaha,No,84.3
13207050102,"Census Tract 501.02, Monroe County",Monroe,Middle Georgia,No,44.2
13057091007,"Census Tract 910.07, Cherokee County",Cherokee,Atlanta Regional Commission,Yes,22.1
13121008601,"Census Tract 86.01, Fulton County",Fulton,Atlanta Regional Commission,Yes,68.2
13313000101,"Census Tract 1.01, Whitfield County",Whitfield,Northwest Georgia,No,58.2
13107970300,"Census Tract 9703, Emanuel County",Emanuel,Heart of Georgia Altamaha,No,35.3
13157010500,"Census Tract 105, Jackson County",Jackson,Northeast Georgia,No,54.9
13021013603,"Census Tract 136.03, Bibb County",Bibb,Middle Georgia,No,37.5
13089023102,"Census Tract 231.02, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,63.1
13045910502,"Census Tract 9105.02, Carroll County",Carroll,Three Rivers,Yes,79.5
13185011302,"Census Tract 113.02, Lowndes County",Lowndes,Southern Georgia,No,52
13087970600,"Census Tract 9706, Decatur County",Decatur,Southwest Georgia,No,28.4
13087970200,"Census Tract 9702, Decatur County",Decatur,Southwest Georgia,No,32.7
13087970400,"Census Tract 9704, Decatur County",Decatur,Southwest Georgia,No,55.8
13135050317,"Census Tract 503.17, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,58.9
13005970202,"Census Tract 9702.02, Bacon County",Bacon,Southern Georgia,No,46.8
13121009404,"Census Tract 94.04, Fulton County",Fulton,Atlanta Regional Commission,Yes,41.8
13103030402,"Census Tract 304.02, Effingham County",Effingham,Coastal Regional Commission,No,48.5
13105000500,"Census Tract 5, Elbert County",Elbert,Northeast Georgia,No,31.4
13137000201,"Census Tract 2.01, Habersham County",Habersham,Georgia Mountains,No,37
13137000202,"Census Tract 2.02, Habersham County",Habersham,Georgia Mountains,No,52.9
13127000200,"Census Tract 2, Glynn County",Glynn,Coastal Regional Commission,No,54.7
13055010300,"Census Tract 103, Chattooga County",Chattooga,Northwest Georgia,No,42.9
13003960100,"Census Tract 9601, Atkinson County",Atkinson,Southern Georgia,No,31.4
13121006802,"Census Tract 68.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,63.9
13059000402,"Census Tract 4.02, Clarke County",Clarke,Northeast Georgia,No,75.2
13313000501,"Census Tract 5.01, Whitfield County",Whitfield,Northwest Georgia,No,31.9
13313001100,"Census Tract 11, Whitfield County",Whitfield,Northwest Georgia,No,50.5
13321950600,"Census Tract 9506, Worth County",Worth,Southwest Georgia,No,30.2
13089020700,"Census Tract 207, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,59.1
13067030229,"Census Tract 302.29, Cobb County",Cobb,Atlanta Regional Commission,Yes,45.3
13057090400,"Census Tract 904, Cherokee County",Cherokee,Atlanta Regional Commission,Yes,48.2
13151070106,"Census Tract 701.06, Henry County",Henry,Atlanta Regional Commission,Yes,49
13107970500,"Census Tract 9705, Emanuel County",Emanuel,Heart of Georgia Altamaha,No,41.7
13113140406,"Census Tract 1404.06, Fayette County",Fayette,Atlanta Regional Commission,Yes,64.7
13053020206,"Census Tract 202.06, Chattahoochee County",Chattahoochee,River Valley,No,
13045910400,"Census Tract 9104, Carroll County",Carroll,Three Rivers,Yes,50.7
13051001500,"Census Tract 15, Chatham County",Chatham,Coastal Regional Commission,No,68
